Time,Windspeed
30/8/2023 10:45,3.1
30/8/2023 10:50,3.1
30/8/2023 10:55,2.75
30/8/2023 11:00,2.65
30/8/2023 11:05,4.3
30/8/2023 11:10,3.1
30/8/2023 11:15,2.55
30/8/2023 11:20,2.55
30/8/2023 11:25,2.2
30/8/2023 11:30,6.15
30/8/2023 11:40,2.75
30/8/2023 11:45,2.95
30/8/2023 12:00,3.3
30/8/2023 12:05,3.45
30/8/2023 12:10,7.75
30/8/2023 12:15,3.65
30/8/2023 12:20,8.65
30/8/2023 12:30,7
30/8/2023 12:35,4.7
30/8/2023 12:40,3.45
30/8/2023 12:45,2.7
30/8/2023 12:50,2.1
30/8/2023 12:55,3.25
30/8/2023 13:00,3.65
30/8/2023 13:05,3.55
30/8/2023 13:10,2.15
30/8/2023 13:20,2.65
30/8/2023 13:25,6.7
30/8/2023 13:30,3.05
30/8/2023 13:35,3.9
30/8/2023 13:40,3.25
30/8/2023 13:45,1.55
30/8/2023 13:50,2.3
30/8/2023 13:55,2.75
30/8/2023 14:00,3.1
30/8/2023 14:05,2.85
30/8/2023 14:10,2.8
30/8/2023 14:20,5.7
30/8/2023 14:25,8.45
30/8/2023 14:35,8.1
30/8/2023 14:40,9.15
30/8/2023 14:45,4.4
30/8/2023 14:55,6.55
30/8/2023 15:05,5.75
30/8/2023 15:15,3.3
30/8/2023 15:20,3.45
30/8/2023 15:25,1.9
30/8/2023 15:30,2
30/8/2023 15:35,2.25
30/8/2023 15:40,3.15
30/8/2023 15:45,3.6
30/8/2023 15:50,2.55
30/8/2023 16:00,1.6
30/8/2023 16:05,4.25
30/8/2023 16:10,2.6
30/8/2023 16:15,6
30/8/2023 16:20,7.6
30/8/2023 16:25,6.7
30/8/2023 16:30,7.15
30/8/2023 16:40,7.85
30/8/2023 16:45,4.2
30/8/2023 16:50,1.4
30/8/2023 16:55,3.6
30/8/2023 17:00,4
30/8/2023 17:05,2.4
30/8/2023 17:20,4.15
30/8/2023 17:25,2.55
30/8/2023 17:35,2.7
30/8/2023 17:40,3.75
30/8/2023 17:45,2.65
30/8/2023 17:55,2.4
30/8/2023 18:00,6.3
30/8/2023 18:05,2.85
30/8/2023 18:10,2.8
30/8/2023 18:15,2.95
30/8/2023 18:25,1.35
30/8/2023 18:30,0.4
30/8/2023 18:35,3.5
30/8/2023 18:40,2.25
30/8/2023 18:55,1.7
30/8/2023 19:00,1.95
30/8/2023 19:05,1.15
30/8/2023 19:10,0.55
30/8/2023 19:20,1.85
